/home/zhx/miniconda3/envs/CQL/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 1 | Reward: -748.4152866817802 | Polciy Loss: 5.777460098266602 | Steps: 200
Episode: 49 | Reward: -353.66666896403063 | Polciy Loss: 133.14117431640625 | Steps: 9800
Episode: 50 | Reward: -124.68699576811107 | Polciy Loss: 119.6889419555664 | Steps: 10000
Episode: 51 | Reward: -126.00341597398744 | Polciy Loss: 122.10993957519531 | Steps: 10200
Episode: 52 | Reward: -124.11376408822564 | Polciy Loss: 122.65166473388672 | Steps: 10400
Episode: 53 | Reward: -123.79694828638851 | Polciy Loss: 127.85130310058594 | Steps: 10600
Episode: 54 | Reward: -242.83245268054364 | Polciy Loss: 125.84042358398438 | Steps: 10800
Episode: 55 | Reward: -358.7354701192578 | Polciy Loss: 127.19140625 | Steps: 11000
Episode: 56 | Reward: -251.82727144330306 | Polciy Loss: 121.13631439208984 | Steps: 11200
Episode: 57 | Reward: -244.0865242074132 | Polciy Loss: 119.77593994140625 | Steps: 11400
Episode: 58 | Reward: -508.51755028045153 | Polciy Loss: 118.28591918945312 | Steps: 11600
Episode: 59 | Reward: -0.27161387826402955 | Polciy Loss: 122.78070068359375 | Steps: 11800
Episode: 60 | Reward: -125.43260003028747 | Polciy Loss: 130.02334594726562 | Steps: 12000
Episode: 61 | Reward: -363.13480537994116 | Polciy Loss: 121.93761444091797 | Steps: 12200
Episode: 62 | Reward: -472.7761537503267 | Polciy Loss: 121.9350814819336 | Steps: 12400
Episode: 63 | Reward: -125.40129989144346 | Polciy Loss: 122.24922943115234 | Steps: 12600
Episode: 64 | Reward: -124.42723458728094 | Polciy Loss: 122.11734771728516 | Steps: 12800
Episode: 65 | Reward: -123.21170000410947 | Polciy Loss: 115.25924682617188 | Steps: 13000
Episode: 66 | Reward: -364.64171331987296 | Polciy Loss: 126.98492431640625 | Steps: 13200
Episode: 67 | Reward: -126.08530673256212 | Polciy Loss: 120.0841064453125 | Steps: 13400
Episode: 68 | Reward: -124.62139844711474 | Polciy Loss: 122.93983459472656 | Steps: 13600
Episode: 69 | Reward: -606.6561134217699 | Polciy Loss: 118.80972290039062 | Steps: 13800
Episode: 70 | Reward: -233.30299813334577 | Polciy Loss: 116.11023712158203 | Steps: 14000
Episode: 71 | Reward: -361.7671250408949 | Polciy Loss: 112.8331527709961 | Steps: 14200
Episode: 72 | Reward: -1.1194354094157182 | Polciy Loss: 119.35904693603516 | Steps: 14400
Episode: 73 | Reward: -120.59572814227036 | Polciy Loss: 108.95757293701172 | Steps: 14600
Episode: 74 | Reward: -120.16376881145412 | Polciy Loss: 118.34029388427734 | Steps: 14800
Episode: 75 | Reward: -495.98972562373103 | Polciy Loss: 113.9574203491211 | Steps: 15000
Episode: 76 | Reward: -467.0604099673965 | Polciy Loss: 134.19898986816406 | Steps: 15200
Episode: 77 | Reward: -122.91161216182044 | Polciy Loss: 123.2783203125 | Steps: 15400
Episode: 78 | Reward: -474.9067607823145 | Polciy Loss: 108.622314453125 | Steps: 15600
Episode: 79 | Reward: -237.70234998799683 | Polciy Loss: 124.29508209228516 | Steps: 15800
Episode: 80 | Reward: -597.5404852771409 | Polciy Loss: 126.31097412109375 | Steps: 16000
Episode: 81 | Reward: -121.02505770296582 | Polciy Loss: 111.54603576660156 | Steps: 16200
Episode: 82 | Reward: -236.1286288868846 | Polciy Loss: 98.38088989257812 | Steps: 16400
Episode: 83 | Reward: -474.37179698942543 | Polciy Loss: 107.40792846679688 | Steps: 16600
Episode: 84 | Reward: -237.47698131230936 | Polciy Loss: 104.9510498046875 | Steps: 16800
Episode: 85 | Reward: -125.47406942104416 | Polciy Loss: 104.47570037841797 | Steps: 17000
Episode: 86 | Reward: -123.65901537590932 | Polciy Loss: 114.28462982177734 | Steps: 17200
Episode: 87 | Reward: -496.74843431504866 | Polciy Loss: 96.39274597167969 | Steps: 17400
Episode: 88 | Reward: -237.87664039645466 | Polciy Loss: 106.36233520507812 | Steps: 17600
Episode: 89 | Reward: -118.46412661799184 | Polciy Loss: 108.61569213867188 | Steps: 17800
Episode: 90 | Reward: -122.49408458584632 | Polciy Loss: 111.69335174560547 | Steps: 18000
Episode: 91 | Reward: -502.58059857932494 | Polciy Loss: 102.17691040039062 | Steps: 18200
Episode: 92 | Reward: -496.71483650844146 | Polciy Loss: 111.14138793945312 | Steps: 18400
Episode: 93 | Reward: -242.43256686957878 | Polciy Loss: 105.45085906982422 | Steps: 18600
Episode: 94 | Reward: -469.2372966494419 | Polciy Loss: 101.05873107910156 | Steps: 18800
Episode: 95 | Reward: -487.96981824982385 | Polciy Loss: 103.03125762939453 | Steps: 19000
Episode: 96 | Reward: -360.6443143186087 | Polciy Loss: 114.26954650878906 | Steps: 19200
Episode: 97 | Reward: -124.83871123751561 | Polciy Loss: 103.32000732421875 | Steps: 19400
