Episode: 119 | Reward: 13.0 | Q Loss: 0.7000481486320496 | Steps: 2506
Episode: 120 | Reward: 19.0 | Q Loss: 0.7122477293014526 | Steps: 2525
Episode: 121 | Reward: 17.0 | Q Loss: 0.6942498087882996 | Steps: 2542
Episode: 122 | Reward: 74.0 | Q Loss: 0.6905003190040588 | Steps: 2616
Episode: 123 | Reward: 16.0 | Q Loss: 0.7062284350395203 | Steps: 2632
Episode: 124 | Reward: 23.0 | Q Loss: 0.6982355713844299 | Steps: 2655
Episode: 125 | Reward: 15.0 | Q Loss: 0.7192503809928894 | Steps: 2670
Episode: 126 | Reward: 18.0 | Q Loss: 0.700719952583313 | Steps: 2688
Episode: 127 | Reward: 30.0 | Q Loss: 0.7118670344352722 | Steps: 2718
Episode: 128 | Reward: 13.0 | Q Loss: 0.7165929079055786 | Steps: 2731
Episode: 129 | Reward: 42.0 | Q Loss: 0.7052637934684753 | Steps: 2773
Episode: 130 | Reward: 19.0 | Q Loss: 0.70401930809021 | Steps: 2792
Episode: 131 | Reward: 17.0 | Q Loss: 0.6997781991958618 | Steps: 2809
Episode: 132 | Reward: 23.0 | Q Loss: 0.6949375867843628 | Steps: 2832
Episode: 133 | Reward: 50.0 | Q Loss: 0.7004548907279968 | Steps: 2882
Episode: 134 | Reward: 24.0 | Q Loss: 0.7077436447143555 | Steps: 2906
Episode: 135 | Reward: 17.0 | Q Loss: 0.7132258415222168 | Steps: 2923
Episode: 136 | Reward: 32.0 | Q Loss: 0.703338086605072 | Steps: 2955
Episode: 137 | Reward: 33.0 | Q Loss: 0.6994333863258362 | Steps: 2988
Episode: 138 | Reward: 11.0 | Q Loss: 0.6837881803512573 | Steps: 2999
Episode: 139 | Reward: 12.0 | Q Loss: 0.6916192770004272 | Steps: 3011
Episode: 140 | Reward: 13.0 | Q Loss: 0.6965736746788025 | Steps: 3024
Episode: 141 | Reward: 13.0 | Q Loss: 0.7105703353881836 | Steps: 3037
Episode: 142 | Reward: 22.0 | Q Loss: 0.6999155879020691 | Steps: 3059
Episode: 143 | Reward: 35.0 | Q Loss: 0.6987527012825012 | Steps: 3094
Episode: 144 | Reward: 42.0 | Q Loss: 0.7154353260993958 | Steps: 3136
Episode: 145 | Reward: 11.0 | Q Loss: 0.7025569081306458 | Steps: 3147
Episode: 146 | Reward: 33.0 | Q Loss: 0.7135019302368164 | Steps: 3180
Episode: 147 | Reward: 25.0 | Q Loss: 0.7015963196754456 | Steps: 3205
Episode: 148 | Reward: 23.0 | Q Loss: 0.7109664082527161 | Steps: 3228
Episode: 149 | Reward: 20.0 | Q Loss: 0.7218751311302185 | Steps: 3248
Episode: 150 | Reward: 17.0 | Q Loss: 0.7353301644325256 | Steps: 3265
Episode: 151 | Reward: 71.0 | Q Loss: 0.7083877921104431 | Steps: 3336
Episode: 152 | Reward: 42.0 | Q Loss: 0.7211855053901672 | Steps: 3378
Episode: 153 | Reward: 13.0 | Q Loss: 0.7259678244590759 | Steps: 3391
Episode: 154 | Reward: 13.0 | Q Loss: 0.6946268677711487 | Steps: 3404
Episode: 155 | Reward: 13.0 | Q Loss: 0.7001417279243469 | Steps: 3417
Episode: 156 | Reward: 12.0 | Q Loss: 0.7113677263259888 | Steps: 3429
Episode: 157 | Reward: 29.0 | Q Loss: 0.6940295696258545 | Steps: 3458
Episode: 158 | Reward: 24.0 | Q Loss: 0.7051976323127747 | Steps: 3482
Episode: 159 | Reward: 14.0 | Q Loss: 0.7051584720611572 | Steps: 3496
Episode: 160 | Reward: 68.0 | Q Loss: 0.7136519551277161 | Steps: 3564
Episode: 161 | Reward: 13.0 | Q Loss: 0.7173480987548828 | Steps: 3577
Episode: 162 | Reward: 38.0 | Q Loss: 0.6891327500343323 | Steps: 3615
Episode: 163 | Reward: 20.0 | Q Loss: 0.7467036843299866 | Steps: 3635
Episode: 164 | Reward: 14.0 | Q Loss: 0.6954801082611084 | Steps: 3649
